Table 1
ID;Name;Ethnologuenamn;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;Lat;Lon;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;34x;35;36;37;38;39;40;41;42;43;44
pname;;;D-marking in NP;H-marking in NP;floating in NP;PP type;D-marking in PP;H-marking in PP;clausal D-marking;clausal H-marking;clausal floating;total D-marking;total H-marking;total floating;D – (H + F);complexity (D+H+F);D/complexity;;;alignment pronoun;alignment noun;alignment verb;dominant alignment;clusivity;alienability;genders;no. of genders;autogender;g-agr article;g-agr adjective;g-agr possessive;g-agr pronoun;g-agr verb;g-agr numeral;numeral clf;no of numclfs;dominant clause order;plu-neutralization pronouns;plu-neutralization nouns;plu-neutralization verbs;any plu-neutralization;A-downgrading;A-adding ;O-downgrading;O-adding;IO-adding
1;Amharic;Amharic;3;1;;;;;6;3;;9;4;0;5;13;0,69;10;38;A;A;A;A;N;;Y;2;;;;;Y;Y;;N;;3;;;;--;Y;Y;;;
2;Dizi;Dizi;2;2;;;;;6;2;;8;4;0;4;12;0,67;6;35;A;A;A;A;N;Y;Y;2;Y;;Y;;Y;;;N;;3;;;;?;Y;Y;;;
3;Fula;Nigerian Fulfulde;2;0;;;1;;0;3;;2;3;0;-1;5;0,4;13;-9;N;N;A/N;A;Y;Y;Y;15?;Y;;Y;;Y;Y;;Y;;2;;;;n/a;Y;Y;Y;Y;
4;Fur;Fur;3;0;;;2;;5;2;;8;2;0;6;10;0,8;13;24;A;N;A;A;N;;N;;;;;;;;;N;;3;N;Y;Y;Y;Y;;;;
5;Gbeya;Gbaya;2;1;;;;1;4;1;1;6;2;1;3;9;0,67;5;15;A;N;N/A;A;N;Y;;;;;;;;;;N;;2;;Y;;Y;;;;;
6;Hausa;Hausa;2;2;;;0;2;5;2;;7;4;0;3;11;0,61;12;18;N;N;A;A;N;;Y;2;;;Y;;;Y;;N;;2;;;;;Y;Y;;;
7;lk;Ik;2;0;;;;;6;2;;8;2;0;6;10;0,8;4;31;A/n;A/n;A;A;Y;;N;;;;;;;;;;;1.5;;;;N;Y;Y;Y;;
8;!Kung;Kung-Ekoka;0;0;1;;0;0;0;1;;0;1;1;-2;2;0;-19;17;N;N;N/e;N;?;Y;Y;5;;;;;Y;;;N;;2;;;;n/a;;Y;;;
9;Logbara;Lugbara;3;0;;NP;2;;2;0;;5;0;0;5;5;1;3;31;N?;N?;N?;N?;N;Y;N;;;;;;;;;N;;2.5;;;;n/a;;;;;
10;Luganda;Ganda;3;0;;;2;0;0;6;;3;6;0;-3;9;0,33;2;33;N;N;A;A;N;Y;Y;12;Y;Y;Y;;;Y;Y;N;;2;;;;n/a;Y;Y;;;Y
11;Maasai;Maasai;3;1;;;;;4;3;;7;4;0;3;11;0,64;-3;37;A;A;A;A;N;;Y;2;Y;;;;;;;N;;1;;;;--;Y;Y;Y;;Y
12;Mandinka;Mandinka;0;0;;;0;0;4;0;;4;0;0;1;4;1;15;-15;;N/A;N;N;;;N;;;;;;;;;N;;3;;;;n/a;?;Y;Y;;
13;Nama;Nama;2;0;;;0;0;4;2;;6;2;0;4;8;0,75;-26;18;A;A;A;A;Y;Y;Y;3;Y;;;;Y;Y;;N;;3;;;;--;;Y;;Y;
14;Nera;Nara;3;0;;;;;4;3;;7;3;0;4;10;0,7;15;38;A;A;A;A;N;;;;;;;;;;;N;;3;;;;--;Y;Y;;;
15;Orig;?????;3;0;;;;;0;4;;3;4;0;-1;7;0,43;13;31;N;N;A;A;N;;Y;6;Y;;Y;;;;;N;;3;;;;n/a;;;;;
16;Oromo;Oromo;3;0;;;2;;6;2;;9;2;0;7;11;0,82;0;38;A;A;A;A;N;;Y;2;;Y;Y;;;Y;;N;;3;;Y;;Y;Y;Y;;;
17;Sandawe;Sandawe;1;0;;;0;;0;3;;1;3;0;-2;4;0,25;-6;36;N;N;A;A;N;;Y;;;Y;;;;;;N;;3;;;;n/a;Y;Y;;;Y
18;Songhai;Songhay languages;1;0;;;0;;2;0;;3;0;0;3;3;1;15;0;N;N;N;N;N;;N;;;;;;;;;N;;2;;;;n/a;;;;;
19;Yoruba;Yoruba;;2;;;1;;4;0;;4;2;0;2;6;0,67;5;7;A;N;N/A;A;N;;;;;;;;;;;N;;2;;;;n/a;;Y;;;
20;Akkadian;n/a;3;2;;;2;1;6;3;;9;5;0;4;14;0,64;35;43;A;A;A;A;N;--;Y;2;Y;Y;;;;;;;;3;;;;--;Y;Y;;;
21;Elamite;Elamite;3;0;;;;;0;4;;3;4;0;-1;7;0,43;32;51;N;N;S?/E;S?;N;?;Y;2;Y;;Y;;;;;;;3;;;;n/a;;;;;
22;Hittite;Hittite;3;1;;;2;1;6;2;1;9;3;1;5;13;0,69;39;33;A;AIE;A;A;N;Y;Y;2;Y;;Y;;;Y;;;;3;;;;--;Y;Y;;;
23;Hurrian;n/a;2;1;;;2;2;6;2;1;8;3;1;4;12;0,67;37;40;E;E;3?;E;N;-;N;;;;;;;;;;;3;;;;--;Y;Y;;;
24;Sumerian;n/a;1;2;;;1;;6;6;;7;8;0;-1;15;0,47;33;45;A;E;E/a;E;N;-;Y;2;;;;;Y;Y;Y;;;3;;;Y;Y;;;;;
25;Abkhaz;Abkhaz;0;2;;;0;2;0;6;;0;8;0;-8;8;0;44;40;N;N;E;E;N;N;N;;;;;;;;;;;3;;;;n/a;;Y;;;
26;Armenian;Armenian;2;0;;;2;0;4;2;;6;2;0;4;8;0,75;40;45;A;A;A;A;N;-;N;;;;;;;;;N;;3;;;;--;Y;;;;
27;Basque;Basque;2;0;;;2;0;6;6;;8;6;0;2;14;0,57;43;-2;E?;E;E;E;N;-;N;;;;;;;;;N;;3;;;;--;Y;Y;Y;;
28;Chechen;Chechen;3;0;;;2;0;6;2;;9;2;0;7;11;0,82;45;42;E;E;E;E;Y;N;Y;5;y;;y;;;;Y;N;;3;;;;;;Y;;;
29;English;English;2;0;;;1;0;2;0;;4;0;0;4;4;1;55;0;A;N;A;A;N;N;N;;;;;;;;;N;;2;;;;n/a;Y;;;;
30;French;French;3;0;;;0;0;2;6;;5;6;0;-1;11;0,45;47;2;N;N;A;A;N;N;Y;2;;Y;Y;;Y;;;N;;1;;;;--;Y;;;;
31;Georgian;Georgian;2;0;;;2;0;6;4;;8;4;0;4;12;0,67;41;42;N;E;S/A;S;N;N;N;;;;;;;;;N;;2.5;;;;--;Y;Y;;;
32;Hungarian;Hungarian;0;2;;;0;1;6;2;;6;1;0;2;10;0,6;47;20;A;A;A;A;N;N;N;;;;;;;;;N;;2;;;;--;Y;Y;;;
33;Russian;Russian;3;0;;;2;0;6;2;;9;2;0;7;11;0,82;55;39;A;A;A;A;N;N;Y;3;Y;;Y;;Y;Y;y;N;;2;;;;--;Y;;;;
