Table 1
ID;Name;Ethnologuenamn;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;Lat;Lon;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;34x;35;36;37;38;39;40;41;42;43;44
34;Zyrian;Komi-Zyrian;2;1;;;0;2;6;2;;8;3;0;5;11;0,73;65;55;A;A;A;A;N;-;N;;;;;;;;;N;;2.5;;;;--;Y;Y;Y;;
35;Ainu;Ainu;0;2;;;;;0;2;;0;4;0;-4;4;0;45;141;N;N;A;A;Y;-;N;;;;;;;;;N;;3;;;;n/a;Y;Y;;;
36;Chukchi;Chukot;2;0;;;2;0;6;4;;8;1;0;4;12;0,67;67;170;E;E;E/A;E;N;--;N;;;;;;;;;N;;2.5;;;;--;;;Y;;
37;Gilyak;Gilyak;0;1;;;;;0;2;;0;3;0;-3;3;0;52;141;N;N;A;A;?;-;N;;;;;;;;;Y;;3;;;;n/a;Y;Y;;;
38;Japanese;Japanese;3;0;;;;;6;0;;9;0;0;9;9;1;36;136;A;A;N;A;N;-;N;;;;;;;;;Y;;3;;;;n/a;Y;Y;;;
39;Ket;Ket;3;2;;;0;2;4;4;;7;6;0;1;13;0,54;64;87;N?;N;S/E;S;N;-;Y;3;;;Y;Y;;Y;;;26;2.5;;;;--;;;;;
40;Korean;Korean;2;0;;;;;6;0;;8;0;0;8;8;1;37;127;A;A;N/a;A;N;N;Y;;;;;;;;;;26+;3;;;;n/a;Y;Y;;;
41;Mongolian;Halh Mongolian;2;1;;;2;0;6;0;;8;1;0;7;9;0,89;45;105;A;A;N;A;Y;-;N;;;;;;;;;;;3;;;;n/a;Y;Y;;;
42;Nanai;Nanai;0;2;;;0;2;6;2;;6;4;0;2;10;0,6;48;135;A;A;A;A;N;Y;N;;;;;;;;;N;;3;;;;--;Y;Y;;;
43;Tuva;Tuvin;2;2;;;2;2;6;2;;8;4;0;4;12;0,67;51;93;A;A;A;A;N;Y;N;;;;;;;;;N;;3;;;;--;Y;Y;;;
44;Yukagir;Yukaghir;1;1;;;2;0;5;2;;6;3;0;3;9;0,67;69;160;A;N;A;A;N;Y;N;;;;;;;;;N;;3;;;;--;Y;Y;;;
45;Yurak;Nenets;1;1;;;1;1;6;4;;7;5;0;2;12;0,58;68;75;A;A;A;A;N;?;N;;;;;;;;;N;;3;;;;--;Y;Y;Y;;
46;Acehnese;Aceh;0;2;;;;;2;3;1;2;5;1;-4;8;0,25;5;97;N;N;S;S;Y;;-;;;;;;;;;Y;9;FreeY;Y;;Y;Y;Y;Y;;;
47;Burushaski;Burushaski;2;;;;2;1;6;4;;8;4;0;4;12;0,67;36;75;E/A;E/A;E/A;E;N;Y;Y;4;y.-;;Y;;Y ;Y;;;;3;;;;--;;Y;;;
48;Gurung;Gurung;2;0;;;0;0;6;0;;8;0;0;8;8;1;28;83;;E;N;E;Y;-;N;;;;;;;;;N;;3;;;;n/a;;;;;
49;Kota;Kota;1;0;;;1;0;6;2;;7;2;0;5;9;0,78;11;77;A;A;A;A;Y;-;-;;;;;;;;;N;;3;Y;;;Y;;Y;;;
50;Mandarin;Mandarin Chinese;2;0;;-;;;0;0;;2;0;0;2;2;1;35;110;N;N;N;N;Y;Y;N;;;;;;;;;Y;51;2;;;;n/a;;;;;
51;Miao;Hmong languages;2;0;;;0;0;0;0;;2;0;0;2;2;1;27;107;N;N;N;N;;;N;;;;;;;;;Y;7;2;;;;n/a;;;;;
52;Nahali;Nihali;2;0;;;;;5;2;;7;2;0;5;9;0,78;20;75;A;A;NIA;A;N;Y;-;;;;;;;;;N;;3;;;;N;;;;;
53;Temiar;Temiar;0;0;1;;0;;4;2;;4;2;1;1;7;0,57;5;102;N/A;N/A;A;A;Y;;-;;;;;;;;;N;;2;;;;N;;Y;;;
54;Thai;Thai;2;0;;;0;;2;0;;4;0;0;4;4;1;20;103;N;N;N;N;N;;N;;;;;;;;;Y;20;2;;;;n/a;;Y;;;
55;Waigali;Waigali;3;0;;;2;0;6;2;;9;2;0;7;11;0,82;35;71;?;?;E/A;E;N;-;Y;2;;Y;;Y;;;;N;;3;;;;;Y;Y;;;
56;Abelam;Ambulas;1;1;;;0;0;6;2;;7;3;0;4;10;0,7;-4;143;A;A;A;A;N;-;Y;2;;;;Y;Y;;;N;;3;N;Y;N;Y;;Y;;;
57;Alamblak;Alamblak;2;0;;;;;0;4;;2;4;0;-2;6;0,33;-4;144;N;N;A;A;N;N;Y;2;;;;Y;Y;;;N;;3;;;;n/a;Y;Y;;;Y
58;Amele;Amele;2;2;;;0;0;0;4;;2;6;0;-4;8;0,25;-5;145;N;N;A;A;N;Y;N;;;;;;;;;N;;3;;;;n/a;;;;;
59;Arapesh;Arapesh languages;2;1;;;;;0;4;;2;5;0;-3;7;0,29;-3;143;;;A;A?;N;;y;13;y;Y;Y;Y;Y;;;Y;13;;;;;n/a;;;;;
60;Asmat;Asmat languages;0;0;;;;;0;4;;0;4;0;-4;4;0;-6;139;A;A;A;A;N;;-;;;;;;;;;;;3;;;;n/a;;Y;;;
61;Awtuw;Awtuw;2;0;;;;;4;0;;6;0;0;6;6;1;-3;142;A;A;N;A;N;N;N;2;;;;Y;;;;N;;;;;;n/a;?;;?;;Y
62;Barai;Barai;2;0;;;;;0;2;;2;2;0;0;4;0,5;-10;148;N;N;A;A;N;;-;;;;;;;;;;;;;;;n/a;;;;;
63;Hua;Yagaria;2;2;;;0;0;4;4;;6;6;0;0;12;0,5;-6;145;E;E;A;E;N;Y;-;;;;;;;;;N;;3;;Y;;Y;;;;Y;Y
64;Kâte;Kâte;2;0;;;0;0;4;5;;6;5;0;1;11;0,55;-7;148;E;E;A;E;Y;Y;N;;;;;;;;;N;;;N;Y;y;Y;;;;;Y
65;Kewa;Kewa languages;2;0;;;;;4;2;;6;2;0;4;8;0,75;-6;144;E;E;A?;E;N;;-;;;;;;;;;N;;3;N;;N;;;Y;;;
66;Kiwai;Kiwai languages;0;1;;NP?;0;;2;2;;2;3;0;-1;5;0,4;-9;143;N;N;A;A;N;?;-;N;;;;;;;;;;3;N?;Y;N;Y;;;;;
67;Kobon;Kobon;0;2;;;;;2;2;;2;4;0;-2;6;0,33;-5;145;A;N;A;A;N;-;N;;;;;;;;;N;;3;N;Y;N;Y;;Y;;;
68;Kombai;Kombai;1;1;;;;;2;2;;3;3;0;0;6;0,5;-5;140;N;N;A;A;N;-;-;;;;;;;;;;;3;N;Y;N;Y;;;;;
69;Ku Waru;?????;2;0;;;;;6;2;;8;2;0;6;10;0,8;-6;144;E;E;S;E;N;;-;;;;;;;;;;;;N;Y;N;Y;;Y;;;Y
70;Salt-Yui;Salt-Yui;0;0;;;0;0;2;2;;2;2;0;0;4;0,5;-6;145;N;N;A;A;;Y;-;;;;;;;;;N;;3;N;Y;N;Y;;;;;
71;Sentani;Sentani;1;0;;NP?;;;5;4;;6;4;0;2;10;0,6;-3;140;A;A;A;A;Y;?;-;;;;;;;;;N;;;N;;N;;;;;;
72;Suena;Suena;2;0;;;0;0;4;2;;6;2;0;4;8;0,75;-8;118;N;N;A;A;Y;;-;;;;;;;;;N;;3;N;Y;N;Y;;;;;
73;Tawala;Tawala;1;2;;;;2;0;4;;1;6;0;-5;7;0,14;-10;150;N;N;A;A;Y;Y;N;;;;;;;;;N;;;;;;n/a;;;;;
74;Telefol;Telefol;2;0;;;;;2;4;;4;4;0;0;8;0,5;-5;142;N;N;A;A;N;;Y;2;;;;Y;Y;;;N;;3;;Y;;Y;;;;;
75;Vanimo;Vanimo;;;;NP;0;0;0;2;;1;3;0;-2;4;0,25;-3;141;N;N;A;A;Y;Y;Y;2;;Y;;Y;?;;;N;;3;;;;n/a;;;;;
76;Waris;Waris;2;0;;;;;4;0;;6;0;0;6;6;1;-3;141;A;A;N;A;Y;-;N;;;;;;;;;;;3;;;;n/a;;;;;
77;Yali;Yali languages;1;2;;;;;0;4;;1;6;0;-5;7;0,14;-4;139;N;N;A;A;N;;-;;;;;;;;;;;;;;;n/a;Y;Y;;;
78;Yessan-Mayo;Yessan-Mayo;2;1;;;;;2;0;;4;1;0;3;5;0,8;-4;133;A;A;N;A;N;-;-;;;;;;;;;;;;;;;n/a;;;;;
79;Yimas;Yimas;2;0;;;;;0;6;;2;6;0;-4;8;0,25;-5;144;N;N;E/A;E;N;-;Y;10;;;Y;;Y;;;;;;;;;n/a;;Y;;;Y
80;Djingili;Djingili;3;1;;;;;6;4;;9;5;0;4;14;0,64;-20;135;N/3;E;A/N;E;Y;-;Y;4;;;Y;;;;Y;N;;2;;Y;;Y;;;;;
81;Dyirbal;Dyirbal;3;0;;-;;;6;0;;9;0;0;9;9;1;-18;146;A;E;N;E;Y;Y;Y;4;;Y;;;;;;N;;3;;;;n/a;;;Y;;
82;Garawa;Garawa;3;0;;-;;;6;0;;9;0;0;9;9;1;-20;137;E;E;N;E;Y;Y;-;;;;;;;;;N;;;;;;n/a;;;;;
83;Gunwinggu;Gunwinggu;3;0;;-;;;0;4;;3;4;0;-1;7;0,43;-13;134;N;N;A;A;Y;;Y;4;Y;;Y;;;;;;;2;;;;n/a;;;;;
84;Kuniyanti;Gooniyandi;2;0;;;;;6;5;;8;5;0;3;13;0,62;-17;127;E;E;AtH;E;Y;Y;-;;;;;;;;;;;;;Y;;Y;;;;;
85;Malak-Malak;Mullukmulluk;1;0;;-;;;4;0;4;5;0;4;1;9;0,56;-13;131;N/a;N/a;A;A;Y;Y;Y;4;Y;;Y;;Y;;;N;;3;;;;n/a;;Y;;;
86;Mangarayi;Mangarayi;3;2;;-;;;6;4;;9;6;0;3;15;0,6;-18;134;A;A/E;A;A;Y;Y;Y;3;Y;;Y;;;;;N;;2;;Y;;Y;;Y;;Y;
87;Martuthunira;Martuyhunira;3;;;;;;2;0;;5;0;0;5;5;1;-21;116;A;A;N;A;Y;Y;-;;;;;;;;;;;;;;;n/a;Y;Y;;;
88;Maung;Maung;3;;;;0;;4;4;;7;4;0;3;11;0,64;-12;133;N;A?;N;A?;Y;Y;Y;5;;Y;Y;;Y;;;N;;2;;;;;Y;Y;;;
89;Ngiyambaa;Wangaaybuwan-Ngiyambaa;3;0;;-;;;5;;3;8;0;3;5;11;0,73;-32;145;A/c;E;N;E;Y;Y;-;;;;;;;;;N;;3;;;;n/a;Y;Y;;;
90;Nunggubuyu;Nunggubuyu;3;;;-;;;4;4;;7;4;0;3;11;0,64;-14;136;N/3;N;H/A;H;Y;Y;Y;6;;Y;;;Y;Y;;N;;;;Y;;Y;Y;Y;;;
91;Nyigina;Nyigina;0;2;;;;;6;4;;6;6;0;0;12;0,5;-18;123;;E;S/A;S;Y;Y;N;;;;;;;;;;;;N;Y;N;Y;;Y;;Y;
92;Tiwi;Tiwi;1;1;;;0;0;0;4;;1;5;0;-4;6;0,17;-12;131;N;N;A;A;Y;Y;Y;2;;Y;;;Y;;;N;;2;;;;n/a;;Y;;;
93;Unigarinjin;Ngarinyin;2;;;;;;4;6;;6;6;0;0;12;0,5;-17;126;N;N;3;3;Y;Y;Y;5;;;Y;Y;;;;N;;2;;;;--;;;;;
94;Uradhi;Uradhi;3;0;;-;;;6;0;;9;0;0;9;9;1;-12;143;A;E/3;N;E;Y;Y;;;;;;;;;;N;;3;;;;n/a;Y;Y;;;
95;Warndarang;Wandarang;2;1;;-;;;0;1;;2;5;0;-3;7;0,29;-15;135;N;N;A/H;A;Y;Y;Y;6;Y;Y;;Y;;;;N;;2;;;;n/a;Y;;;;
96;WembaWemba;?????;1;2;;;;;4;3;;5;5;0;0;10;0,5;-36;145;A;E;A;A;Y;Y;-;;;;;;;;;N;;;N;Y;N;Y;;;;;
97;W. Desert;Wati languages??;2;0;;-;;;6;0;2;8;0;2;6;10;0,8;-27;132;A;E;N;E;N;Y;-;;;;;;;;;;;3;;;;n/a;Y;Y;;;
98;Yukulta;Ganggalida;3;0;;-;;;5;0;4;8;0;4;4;12;0,67;-17;138;N;E;N;E;Y;;;;;;;;;;;N;;2;;;;n/a;;;Y;;
99;Chamorro;Chamorro;1;2;1;;0;0;2;2;;3;4;1;-2;8;0,38;15;145;N;N;E;E;Y;;N;;;;;;;;;Y;3;1;Y;;;Y;Y;Y;Y;Y;Y
100;Drehu;Dehu;1;1;;;1;2;6;0;;7;1;0;6;8;0,88;-21;168;E/a;E/a;N;E;Y;Y;N;;;;;;;;;N;;1;;;;n/a;;Y;;Y;
101;Konua;Rapoisi;0;2;;-;;;0;2;;0;4;0;-4;4;0;-5;155;N;N;A;A;Y;Y;Y;2;Y;Y;;;;Y;;N;;;;;;n/a;;Y;;;
102;Nasioi;Naasioi;2;1;;-;;;4;4;;6;5;0;1;11;0,55;-6;156;A;A;S;S;N;Y;Y;?;;Y;Y;;;;;Y;50+;3;Y;;;Y;Y;Y;Y;;
103;Ponapean;Pohnpeian;2;;;;0;2;0;2;;2;2;0;0;4;0,5;6;158;N;N;A;A;Y;Y;N;;;;;;;;;Y;29;;;;;n/aY;Y;Y;;;
104;SuIka;Sulka;1;2;;;0;0;2;2;;3;4;0;-1;7;0,13;-5;152;N;N;A;A;N;Y;N;;;;;;;;;N;;2;;;;--;;Y;Y;;Y
105;West Futuna;West Futuna;2;0;;;2;0;4;2;;6;2;0;4;8;0,75;-19;170;N;N;A.;A;Y;Y;N;;;;;;;;;N;;1.5;;;Y;Y;;;Y;;Y
106;Acoma;Keres;0;2;;-;;;0;4;;0;6;0;-6;6;0;35;-107;;N;S;S;N;Y;N;;;;;;;;;N;;2.5;;;;n/a;;;;;
107;Chimariko;Chimariko;0;2;;-;;;0;4;;0;6;0;-6;6;0;41;-123;N;N;S/E;S;Y;Y;-;;;;;;;;;N;;2.5;;;;n/a;;;;;
108;Diegueño;Kumiái;0;2;;-;;;4;4;;4;6;0;-2;10;0,4;33;-117;A;A;A;A;N;Y;N;;;;;;;;;N;;3;Y;Y;;Y;;Y;Y;;
109;Pomo;Pomo languages;2;0;;-;;;4;0;;6;0;0;6;6;1;39;-123;A;E;N;S;N;Y;N;;;;;;;;;;;3;;;;n/a;;;Y;;Y
110;Gitksan;Gitxsan;0;2;;;1;2;6;2;1;6;1;1;1;11;0,55;55;-125;E?;E;E;E;N;Y;;;;;;;;Y;;Y;7;1;;Y;;Y;;Y;Y;Y;''
111;Haida;Haida languages;0;2;;;0;0;0;0;2;0;2;2;-4;4;0;54;-132;N?;N;S/A;S;N;Y;-;;;;;;;;;?;;3;;;;n/a;;;Y;;
112;Hanis;Coos;1;1;;-;;;0;4;2;1;5;2;-6;8;0,13;43;-124;N;N;A;A;Y;-;-;;;;;;;;;N;;1.5;;;;n/a;;Y;Y;Y;
113;Ineseño;Ineseño;0;2;;;0;2;0;4;;0;6;0;-6;6;0;35;-120;N;N;A;A;N;Y;-;;;;;;;;;N;;1;;;;n/a;;;;;
114;Karok;Karok;0;2;;;0;2;0;4;;0;6;0;-6;6;0;42;-123;N;N;A;A;N;Y;N;;;;;;;;;N;;;;;;n/a;;Y;Y;;Y
115;Kutenai;Kutenai;1;2;;-;;;0;4;;1;6;0;-5;7;0,14;49;-115;N;N;S/A;S;N;Y;N;;;;;;;;;N;;1;;;;n/a;;Y;Y;;Y
116;Lower Umpqua;????;2;1;;-;;;4;4;;6;5;0;1;11;0,55;44;-124;3;E;A;E?;Y;-;-;;;;;;;;;N;;1;;Y;;Y;;Y;;;
117;Luiseño;Luiseño;1;2;;;0;2;4;0;2;5;2;2;1;9;0,56;33;-117;A;A;A;A;N;Y;-;;?;;;;;;;N;;2;;;;n/a;;;Y;;
118;Maidu;Maidu languages;3;0;;;0;0;4;2;;7;2;0;5;9;0,78;40;-122;A;A;A;A;N;Y;N;;;;;;;;;N;;3;;Y;;Y;;;Y;;
119;Navajo;Navajo;0;2;;;0;2;0;4;;0;6;0;-6;6;0;37;-108;N;N;A;A;N;Y;N;N;2;;;;;;;;;;;;;n/a;Y;;;;
120;Nootka;Nootka;0;2;;;;2;0;2;;0;4;0;-4;4;0;50;-125;N;N;A;A;N;;N;;1;;;;;;;;;;;;;n/a;Y;Y;;;Y
121;Papago;O'odham;1;2;;NP;0;2;0;2;2;1;-1;2;-5;7;0,14;32;-112;N;N;A;A;N;Y;N;N;1;;;;;;;;;;;;;n/a;Y;Y;Y;;Y
122;Quileute;Quileute;0;2;;;;;4;2;1;4;4;1;-1;9;0,44;48;-124;A;A;A;A;N;Y;Y;2;;;Y;;Y;Y;;N;;1;;Y;;Y;Y;Y;;;Y
123;S Paiute;Ute-Southern Paiute;3;2;;;1;1;4;2;2;7;4;2;1;13;0,54;37;-118;A;A;A;A;Y;?;N;;;;;;;;;N;;3;Y;Y;;Y;Y;Y;;;
124;Sahaptin;Sahaptin;3;0;;;?;;4;2;1;7;2;1;4;10;0,7;46;-118;A;A;E;E;Y;Y;N;;;;;;;;;Y;';1;;;;--;;Y;;;
125;Salinan;Salinan;0;2;;;0;2;0;1;;0;6;0;-6;6;0;36;-121;N?;N;A?;A?;N;Y;N;;;;;;;;;N;;;;;;n/a;;;;;Y
126;Shasta;Shasta;2;0;;;;;0;3;;2;3;0;-1;5;0,1;42;-123;N;N;A;A;N;-;-;;;;;;;;;N;;;;;;n/a;Y;Y;;;
127;Squamish;Squamish;1;2;;;2;0;4;4;;5;6;0;-1;11;0,45;50;-123;N;N;A;A;N;-;-;;;;Y;;;;;Y;;1;;;;--;;Y;;';
128;SSM;Southern Sierra Miwok;2;2;;;;;6;4;;8;6;0;2;14;0,57;37;-120;A;A;A;A;Y;N;N;;;;;;;;;N;;;;Y;;Y;Y;Y;;Y;Y
129;Takelma;Takelma;0;2;;;0;2;0;4;;0;6;0;-5;6;0;42;-123;N;N;A;A;N;Y;N;;;;;;;;;N;;3;;;;n/a;Y;Y;Y;;
130;Tlingit;Takelma;0;2;;;0;0;0;4;;0;6;0;-6;6;0;57;-134;?;N;S/A;S;N;Y;-;;;;;;;;;?;';3;;;;n/a;;;;;
131;Wappo;Wappo;2;1;;;1;1;4;2;;6;3;0;3;9;0,67;38;-128;A?;A?;N?;A;N;Y;N;;;;;;;;;N;;3;;;;--;;;;;
132;Washo;Washo;0;2;;;0;2;1;4;;1;6;0;-5;7;0,14;38;-120;N;N;A;A;Y;Y;-;;;;;;;;;N;;3;;Y;;Y;;Y;Y;;Y
133;Wintu;Wintu;2;0;;-;;;4;2;;6;2;0;4;8;0,75;40;-128;A;A;A;A;Y;Y;-;;;;;;;;;N;;;;;;--;Y;Y;;;
134;Wishram;Wasco-Wishram;0;2;;-;;;0;6;;0;8;0;-8;8;0;45;-122;N;N;E;E;Y;Y;Y;6;;Y;;Y;Y;Y;;N;;1;;;;n/a;Y;Y;?;;Y
135;Yawelmani;Yokuts;3;0;;;2;0;6;0;;9;0;0;9;9;1;35;-119;A;A;N;A;Y;-;N;;;;;;;;;N;;3;;;;n/a;Y;Y;;;
136;Yurok;Yurok;0;2;;;1;2;1;4;;1;6;0;-5;7;0,14;41;-124;A;N;A;A;N;;;;;;;;;;;Y;15;;;Y;;Y;Y;;;;Y
137;Zuni;Zuni;1;0;;-;;;2;0;;3;0;0;3;3;1;35;-109;A;N;N;N;N;-;N;;;Y;;;;;;N;;3;;;;n/a;;Y;;;
138;Atakapa;Atakapa;0;1;;;0;0;0;3;;0;4;0;-4;4;0;30;-94;N;N;A/3;A;-;-;-;;;;;;;;;N;;3;;;;n/a;;;;;
139;Chitimacha;Chitimacha;0;0;;;0;0;0;2;;0;2;0;-2;2;0;29;-91;N;N;A;A;N;?;N;;;;;;;;;N;;3;;;;n/-;;Y;;;Y
140;Choctaw;Choctaw;0;2;;;0;2;4;6;;4;8;0;-4;12;0,33;32;-89;A;A;S/A;S;Y;Y;N;;;;;;;;;N;;3;;Y;;Y;Y;Y;;;
141;Cree;Cree;0;2;;-;;;0;4;;0;6;0;-6;6;0;52;-80;N;N;H;H;Y;Y;Y;2;;;;Y;;Y;;N;;;;;;n/a;Y;Y;Y;;Y
142;Kiowa;Kiowa;1;1;;-;;;0;6;;1;7;0;-6;8;0,13;37;-99;N;N;H/A;H;N;Y;Y;;4;?;;;;Y;;N;;3;;;;n/a;Y;Y;;;
143;Lakhota;Lakota;0;2;;;0;2;0;4;;0;6;0;-6;6;0;45;-102;N;N;S;S;Y;Y;N;;;;;;;;;;;3;;;;n/a;;Y;Y;;Y
144;Natchez;Natchez;1;2;;-;;;0;4;;1;6;0;-5;7;0,14;32;-92;N;N;A?;A?;N;;;;;;;;;;;;;;;;;n/a;Y;Y;;;Y
145;Pawnee;Pawnee;0;2;;-;;;0;4;;0;6;0;-6;6;0;41;-99;N;N;S/E;Sg;Y;Y;~;;;;;;;;;N;;;;;;n/a;;y;;;
146;Seneca;Seneca;0;2;;-;;;0;4;;0;6;0;-6;6;0;43;-78;N;N;S;S;Y;Y;-;;;;;;;;;N;;;;;;n/a;;Y;;;Y
147;Tonkawa;Tonkawa;2;0;;;;;6;4;;8;4;0;4;12;0,67;32;-97;A;A;S;S;N;Y;-;;;;;;;;;N;;3;;Y;;Y;;Y;;;
