ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
10-23,10,23,N,,,
10-24,10,24,Y,,,
10-25,10,25,Y,,,
10-26,10,26,12,,,
10-27,10,27,Y,,,
10-28,10,28,Y,,,
10-29,10,29,Y,,,
10-32,10,32,Y,,,
10-33,10,33,Y,,,
10-34,10,34,N,,,
10-35,10,35,2,,,
10-39,10,39,n/a,,,
10-40,10,40,Y,,,
10-41,10,41,Y,,,
10-44,10,44,Y,,,
11-2,11,2,3,,,
11-3,11,3,1,,,
11-8,11,8,4,,,
11-9,11,9,3,,,
11-11,11,11,7,,,
11-12,11,12,4,,,
11-13,11,13,0,,,
11-14,11,14,3,,,
11-15,11,15,11,,,
11-16,11,16,"0,64",,,
11-19,11,19,A,,,
11-20,11,20,A,,,
11-21,11,21,A,,,
11-22,11,22,A,,,
11-23,11,23,N,,,
11-25,11,25,Y,,,
11-26,11,26,2,,,
11-27,11,27,Y,,,
11-34,11,34,N,,,
11-35,11,35,1,,,
11-39,11,39,--,,,
11-40,11,40,Y,,,
11-41,11,41,Y,,,
11-42,11,42,Y,,,
11-44,11,44,Y,,,
12-2,12,2,0,,,
12-3,12,3,0,,,
12-6,12,6,0,,,
12-7,12,7,0,,,
12-8,12,8,4,,,
12-9,12,9,0,,,
12-11,12,11,4,,,
12-12,12,12,0,,,
12-13,12,13,0,,,
12-14,12,14,1,,,
12-15,12,15,4,,,
12-16,12,16,1,,,
12-20,12,20,N/A,,,
12-21,12,21,N,,,
12-22,12,22,N,,,
12-25,12,25,N,,,
12-34,12,34,N,,,
12-35,12,35,3,,,
12-39,12,39,n/a,,,
12-40,12,40,?,,,
12-41,12,41,Y,,,
12-42,12,42,Y,,,
13-2,13,2,2,,,
13-3,13,3,0,,,
13-6,13,6,0,,,
13-7,13,7,0,,,
13-8,13,8,4,,,
13-9,13,9,2,,,
13-11,13,11,6,,,
13-12,13,12,2,,,
13-13,13,13,0,,,
13-14,13,14,4,,,
13-15,13,15,8,,,
13-16,13,16,"0,75",,,
13-19,13,19,A,,,
13-20,13,20,A,,,
13-21,13,21,A,,,
13-22,13,22,A,,,
13-23,13,23,Y,,,
13-24,13,24,Y,,,
13-25,13,25,Y,,,
13-26,13,26,3,,,
13-27,13,27,Y,,,
13-31,13,31,Y,,,
13-32,13,32,Y,,,
13-34,13,34,N,,,
13-35,13,35,3,,,
13-39,13,39,--,,,
13-41,13,41,Y,,,
13-43,13,43,Y,,,
14-2,14,2,3,,,
14-3,14,3,0,,,
14-8,14,8,4,,,
14-9,14,9,3,,,
14-11,14,11,7,,,
14-12,14,12,3,,,
14-13,14,13,0,,,
14-14,14,14,4,,,
14-15,14,15,10,,,
14-16,14,16,"0,7",,,
14-19,14,19,A,,,
14-20,14,20,A,,,
14-21,14,21,A,,,
14-22,14,22,A,,,
14-23,14,23,N,,,
14-34,14,34,N,,,
14-35,14,35,3,,,
14-39,14,39,--,,,
14-40,14,40,Y,,,
14-41,14,41,Y,,,
15-2,15,2,3,,,
15-3,15,3,0,,,
15-8,15,8,0,,,
15-9,15,9,4,,,
15-11,15,11,3,,,
15-12,15,12,4,,,
15-13,15,13,0,,,
15-14,15,14,-1,,,
15-15,15,15,7,,,
15-16,15,16,"0,43",,,
15-19,15,19,N,,,
15-20,15,20,N,,,
15-21,15,21,A,,,
15-22,15,22,A,,,
15-23,15,23,N,,,
15-25,15,25,Y,,,
15-26,15,26,6,,,
15-27,15,27,Y,,,
15-29,15,29,Y,,,
15-34,15,34,N,,,
15-35,15,35,3,,,
15-39,15,39,n/a,,,
16-2,16,2,3,,,
16-3,16,3,0,,,
16-6,16,6,2,,,
16-8,16,8,6,,,
16-9,16,9,2,,,
16-11,16,11,9,,,
16-12,16,12,2,,,
16-13,16,13,0,,,
16-14,16,14,7,,,
16-15,16,15,11,,,
16-16,16,16,"0,82",,,
16-19,16,19,A,,,
16-20,16,20,A,,,
16-21,16,21,A,,,
16-22,16,22,A,,,
16-23,16,23,N,,,
16-25,16,25,Y,,,
16-26,16,26,2,,,
16-28,16,28,Y,,,
16-29,16,29,Y,,,
16-32,16,32,Y,,,
16-34,16,34,N,,,
16-35,16,35,3,,,
16-37,16,37,Y,,,
16-39,16,39,Y,,,
16-40,16,40,Y,,,
16-41,16,41,Y,,,
17-2,17,2,1,,,
17-3,17,3,0,,,
17-6,17,6,0,,,
17-8,17,8,0,,,
17-9,17,9,3,,,
17-11,17,11,1,,,
17-12,17,12,3,,,
17-13,17,13,0,,,
17-14,17,14,-2,,,
17-15,17,15,4,,,
17-16,17,16,"0,25",,,
17-19,17,19,N,,,
17-20,17,20,N,,,
17-21,17,21,A,,,
17-22,17,22,A,,,
17-23,17,23,N,,,
17-25,17,25,Y,,,
17-28,17,28,Y,,,
