ID,Parameter_ID,Name,Description,Map_Icon
19-2,19,uncertain,,ccccccc
19-3,19,A (accusative),,c0000dd
19-4,19,A/c,,c00ffff
19-5,19,A/n,,c00ffff
19-6,19,A?,,c00ffff
19-7,19,E (ergative),,cdd0000
19-8,19,E/A,,cff6600
19-9,19,E/a,,cff6600
19-10,19,E?,,cff6600
19-11,19,N (neutral),,dffffff
19-12,19,N/3,,ccccccc
19-13,19,N/A,,ccccccc
19-14,19,N/a,,ccccccc
19-15,19,N7,,ccccccc
19-16,19,N (uncertain),,ccccccc
20-1,20,uncertain,,ccccccc
20-2,20,A (accusative),,c0000dd
20-3,20,A/E,,c00ffff
20-4,20,A/n,,c00ffff
20-5,20,A?,,c00ffff
20-6,20,AIE,,c00ffff
20-7,20,E (ergative),,cdd0000
20-8,20,E/3,,cff6600
20-9,20,E/A,,cff6600
20-10,20,E/a,,cff6600
20-11,20,N (neutral),,dffffff
20-12,20,N/A,,ccccccc
20-13,20,N/a,,ccccccc
20-14,20,N?,,ccccccc
21-1,21,tripartite,,cffff00
21-2,21,tripartite (uncertain),,cffff00
21-3,21,A (accusative),,c0000dd
21-4,21,A.,,c00ffff
21-5,21,A/3,,c00ffff
21-6,21,A/H,,c00ffff
21-7,21,A/N,,c00ffff
21-8,21,A?,,c00ffff
21-9,21,AtH,,c00ffff
21-10,21,E (ergative),,cdd0000
21-11,21,E/A,,cff6600
21-12,21,E/a,,cff6600
21-13,21,H,,c990099
21-14,21,H/A,,c990099
21-15,21,N (neutral),,dffffff
21-16,21,N/A,,ccccccc
21-17,21,N/a,,ccccccc
21-18,21,N/e,,ccccccc
21-19,21,N?,,ccccccc
21-20,21,NIA,,ccccccc
21-21,21,S,,c000000
21-22,21,S/A,,c000000
21-23,21,S/E,,c000000
21-24,21,S?,,c000000
21-25,21,S?/E,,c000000
22-1,22,tripartite,,cffff00
22-2,22,A (accusative),,c0000dd
22-3,22,A (uncertain),,c00ffff
22-4,22,E (ergative),,cdd0000
22-5,22,E (uncertain),,cff6600
22-6,22,H,,c990099
22-7,22,N (neutral),,dffffff
22-8,22,N (uncertain),,ccccccc
22-9,22,S,,c000000
22-10,22,S (uncertain),,c000000
22-11,22,Sg,,c000000
23-1,23,none,,c000000
23-2,23,uncertain,,ccccccc
23-3,23,absent,,dffffff
23-4,23,present,,cdd0000
24-1,24,none (-),,c000000
24-2,24,none (—),,d000000
24-3,24,uncertain,,ccccccc
24-4,24,absent,,dffffff
24-5,24,present,,cdd0000
25-1,25,none,,c000000
25-2,25,absent,,dffffff
25-3,25,present (Y),,cdd0000
25-4,25,present (y),,cff6600
25-5,25,~,,c990099
26-1,26,10 genders,,s0000dd
26-2,26,12 genders,,c000000
26-3,26,13 genders,,d000000
26-4,26,15? genders,,s000000
26-5,26,2 genders,,cff6600
26-6,26,3 genders,,cdd0000
26-7,26,4 genders,,c990099
26-8,26,5 genders,,c0000dd
26-9,26,6 genders,,d0000dd
26-10,26,uncertain,,ccccccc
26-11,26,N,,dffffff
27-1,27,1,,
27-2,27,2,,
27-3,27,4,,
27-4,27,uncertain,,ccccccc
27-5,27,present (Y),,cdd0000
27-6,27,present (y),,cff6600
27-7,27,present (y.-),,cff6600
28-1,28,uncertain,,ccccccc
28-2,28,present,,cdd0000
29-1,29,present (Y),,cdd0000
29-2,29,present (y),,cff6600
30-1,30,present,,cdd0000
31-1,31,uncertain,,ccccccc
31-2,31,present,,cdd0000
32-1,32,present,,cdd0000
33-1,33,present (Y),,cdd0000
33-2,33,present (y),,cff6600
34-1,34,uncertain,,ccccccc
34-2,34,absent,,dffffff
34-3,34,present,,cdd0000
34x-1,34x,uncertain,,ccccccc
34x-2,34x,10 classifiers,,cdd0000
34x-3,34x,13 classifiers,,ddd0000
34x-4,34x,15 classifiers,,c990099
34x-5,34x,20 classifiers,,d990099
34x-7,34x,26+ classifiers,,d0000dd
34x-8,34x,29 classifiers,,d0000dd
34x-9,34x,3 classifiers,,dffffff
34x-11,34x,50+ classifiers,,d000000
34x-12,34x,51 classifiers,,s000000
34x-13,34x,7 classifiers,,cff6600
34x-14,34x,9 classifiers,,dff6600
35-1,35,verb-initial,,cffff00
35-2,35,verb-initial/medial,,cff6600
35-3,35,verb-medial,,cdd0000
35-4,35,verb-media-/final,,c990099
35-5,35,verb-final,,c0000dd
35-6,35,free,,dffffff
36-1,36,absent,,dffffff
36-2,36,absent (uncertain),,ccccccc
36-3,36,present,,cdd0000
37-1,37,absent,,dffffff
37-2,37,present,,cdd0000
38-1,38,absent,,dffffff
38-2,38,present (Y),,cdd0000
38-3,38,present (y),,cff6600
39-1,39,none (—),,ccccccc
39-2,39,uncertain,,dcccccc
39-3,39,absent,,dffffff
39-4,39,present,,cdd0000
39-5,39,n/-,,d000000
39-6,39,not applicable,,c000000
39-7,39,n/aY,,s000000
40-1,40,uncertain,,ccccccc
40-2,40,present,,cdd0000
41-1,41,present (Y),,cdd0000
41-2,41,present (y),,cff6600
42-1,42,uncertain,,ccccccc
42-2,42,present,,cdd0000
43-1,43,uncertain,,ccccccc
43-2,43,present,,cdd0000
44-1,44,uncertain,,ccccccc
44-2,44,present,,cdd0000
