ID,Parameter_ID,Name,Description,Map_Icon
2-1,2,0 points,,cffffff
2-2,2,1 point,,cffff00
2-3,2,2 points,,cff6600
2-4,2,3 points,,cdd0000
3-1,3,0 points,,cffffff
3-2,3,1 point,,cffff00
3-3,3,2 points,,cff6600
4-1,4,0 points,,cffffff
4-2,4,1 point,,cffff00
5-1,5,no PP (-),,cffffff
5-2,5,F,,cdd0000
5-3,5,NP,,c0000dd
5-4,5,NP (uncertain),,c00ffff
6-1,6,0 points,,cffffff
6-2,6,1 point,,cffff00
6-3,6,2 points,,cff6600
6-4,6,uncertain,,ccccccc
7-1,7,0 points,,cffffff
7-2,7,1 point,,cffff00
7-3,7,2 points,,cff6600
8-1,8,0 points,,cffffff
8-2,8,1 point,,cffff00
8-3,8,2 points,,cff6600
8-4,8,4 points,,c990099
8-5,8,5 points,,c0000dd
8-6,8,6 points,,c000000
9-1,9,0 points,,cffffff
9-2,9,1 point,,cffff00
9-3,9,2 points,,cff6600
9-4,9,3 points,,cdd0000
9-5,9,4 points,,c990099
9-6,9,5 points,,c0000dd
9-7,9,6 points,,c000000
10-1,10,1 point,,cffff00
10-2,10,2 points,,cff6600
10-3,10,3 points,,cdd0000
10-4,10,4 points,,c990099
11-1,11,0 points,,cffffff
11-2,11,1 point,,cffff00
11-3,11,2 points,,cff6600
11-4,11,3 points,,cdd0000
11-5,11,4 points,,c990099
11-6,11,5 points,,c0000dd
11-7,11,6 points,,ccccccc
11-8,11,7 points,,dcccccc
11-9,11,8 points,,c000000
11-10,11,9 points,,d000000
12-1,12,-1 point,,cffffff
12-2,12,0 points,,dffffff
12-3,12,1 point,,cffff00
12-4,12,2 points,,cff6600
12-5,12,3 points,,cdd0000
12-6,12,4 points,,c990099
12-7,12,5 points,,c0000dd
12-8,12,6 points,,ccccccc
12-9,12,7 points,,dcccccc
12-10,12,8 points,,c000000
13-1,13,0 points,,cffffff
13-2,13,1 point,,cffff00
13-3,13,2 points,,cff6600
13-4,13,3 points,,cdd0000
13-5,13,4 points,,c990099
14-1,14,-8 points,,dffffff
14-2,14,-6 points,,cffffff
14-3,14,-5 points,,cffff00
14-4,14,-4 points,,dffff00
14-5,14,-3 points,,cff6600
14-6,14,-2 points,,dff6600
14-7,14,-1 point,,cdd0000
14-8,14,0 points,,ddd0000
14-9,14,1 point,,c990099
14-10,14,2 points,,d990099
14-11,14,3 points,,c0000dd
14-12,14,4 points,,d0000dd
14-13,14,5 points,,ccccccc
14-14,14,6 points,,dcccccc
14-15,14,7 points,,c000000
14-16,14,8 points,,d000000
14-17,14,9 points,,s000000
15-1,15,2 points,,dffffff
15-2,15,3 points,,cffffff
15-3,15,4 points,,cffff00
15-4,15,5 points,,dffff00
15-5,15,6 points,,cff6600
15-6,15,7 points,,dff6600
15-7,15,8 points,,cdd0000
15-8,15,9 points,,ddd0000
15-9,15,10 points,,c990099
15-10,15,11  points,,d990099
15-11,15,12 points,,c0000dd
15-12,15,13 points,,d0000dd
15-13,15,14 points,,ccccccc
15-14,15,15 points,,dcccccc
16-1,16,0,,dffffff
16-2,16,0.1,,cffff00
16-3,16,0.13,,cffff00
16-4,16,0.14,,cffff00
16-5,16,0.17,,dffff00
16-6,16,0.2,,dffff00
16-7,16,0.25,,dffff00
16-8,16,0.29,,cff6600
16-9,16,0.33,,cff6600
16-10,16,0.38,,cff6600
16-11,16,0.4,,dff6600
16-12,16,0.43,,dff6600
16-13,16,0.44,,dff6600
16-14,16,0.45,,cdd0000
16-15,16,0.47,,cdd0000
16-16,16,0.5,,cdd0000
16-17,16,0.54,,ddd0000
16-18,16,0.55,,ddd0000
16-19,16,0.56,,ddd0000
16-20,16,0.57,,c990099
16-21,16,0.58,,c990099
16-22,16,0.6,,c990099
16-23,16,0.61,,d990099
16-24,16,0.62,,d990099
16-25,16,0.64,,d990099
16-26,16,0.67,,c0000dd
16-27,16,0.69,,c0000dd
16-28,16,0.7,,c0000dd
16-29,16,0.73,,d0000dd
16-30,16,0.75,,d0000dd
16-31,16,0.78,,d0000dd
16-32,16,0.8,,ccccccc
16-33,16,0.82,,ccccccc
16-34,16,0.88,,dcccccc
16-35,16,0.89,,dcccccc
16-36,16,1,,c000000
19-1,19,tripartite,,cffff00
