ID,Name,Ethnologuenamn,Glottocode
81,Dyirbal,Dyirbal,dyir1250
82,Garawa,Garawa,gara1269 / tazn1238 / wany1247
83,Gunwinggu,Gunwinggu,gunw1252 / mang1382
84,Kuniyanti,Gooniyandi,goon1238
85,Malak-Malak,Mullukmulluk,kamu1258 / madn1237 / mull1237
86,Mangarayi,Mangarayi,mang1381
87,Martuthunira,Martuyhunira,mart1255
88,Maung,Maung,anta1253 / maun1240
89,Ngiyambaa,Wangaaybuwan-Ngiyambaa,wang1291
90,Nunggubuyu,Nunggubuyu,nung1290
91,Nyigina,Nyigina,nyig1240
92,Tiwi,Tiwi,tivv1240 / tiwi1244
93,Unigarinjin,Ngarinyin,ngar1284 / wila1240
94,Uradhi,Uradhi,atam1239 / urad1239 / wuth1237
95,Warndarang,Wandarang,wand1263
96,WembaWemba,?????,wemb1241 / west2443
97,W. Desert,Wati languages??,
98,Yukulta,Ganggalida,gang1267 / lard1243
99,Chamorro,Chamorro,cham1312
100,Drehu,Dehu,dehu1237
101,Konua,Rapoisi,rapo1238
102,Nasioi,Naasioi,naas1242 / nasi1247
103,Ponapean,Pohnpeian,pohn1238
104,SuIka,Sulka,sulk1246
105,West Futuna,West Futuna,west2515
106,Acoma,Keres,east1472 / kere1287 / west2632
107,Chimariko,Chimariko,chim1301
108,Diegueño,Kumiái,ipai1240 / kumi1248
109,Pomo,Pomo languages,cent2138 / east2545 / nort2966 / pomo1271 / pomo1276 / sout2982 / sout2984
110,Gitksan,Gitxsan,gitx1241
111,Haida,Haida languages,haid1248 / nort2938 / sout2956
112,Hanis,Coos,coos1249
113,Ineseño,Ineseño,ines1240
114,Karok,Karok,karo1304
115,Kutenai,Kutenai,kute1249
116,Lower Umpqua,????,sius1254
117,Luiseño,Luiseño,luis1253
118,Maidu,Maidu languages,nort2951 / nort2952 / vall1252
119,Navajo,Navajo,nava1243
120,Nootka,Nootka,nuuc1236
121,Papago,O'odham,papi1253 / toho1245
122,Quileute,Quileute,quil1240
123,S Paiute,Ute-Southern Paiute,utes1238
124,Sahaptin,Sahaptin,nort1527 / teni1238 / umat1237 / wall1238 / yaki1237
125,Salinan,Salinan,sali1253
126,Shasta,Shasta,shas1239
127,Squamish,Squamish,squa1248
128,SSM,Southern Sierra Miwok,sout2985
129,Takelma,Takelma,take1257
130,Tlingit,Takelma,take1257 / tlin1245
131,Wappo,Wappo,wapp1239
132,Washo,Washo,wash1253
133,Wintu,Wintu,nucl1651 / wint1259
134,Wishram,Wasco-Wishram,wasc1239
135,Yawelmani,Yokuts,yoku1256
136,Yurok,Yurok,yuro1248
137,Zuni,Zuni,zuni1245
138,Atakapa,Atakapa,atak1252
139,Chitimacha,Chitimacha,chit1248
140,Choctaw,Choctaw,choc1276
141,Cree,Cree,atik1240 / cree1272 / mich1243 / mont1268 / moos1236 / nask1242 / nort1552 / plai1258 / seve1240 / sout2978 / wood1236
142,Kiowa,Kiowa,kiow1264 / kiow1266
143,Lakhota,Lakota,dako1258 / lako1247 / ston1242
144,Natchez,Natchez,natc1249
145,Pawnee,Pawnee,pawn1254
146,Seneca,Seneca,sene1264
147,Tonkawa,Tonkawa,tonk1249
148,Tunica,Tunica,tuni1252
149,Yuchi,Yuchi,yuch1247
150,Chichimec,Chichimec,chic1272
151,Chontal,Chontal languages,chow1240 / high1242 / lowl1260 / taba1266 / tequ1244
152,Huave,Huave languages,sand1278 / sanf1258 / sanm1287 / sant1422
153,Miskito,Mískito,misk1235
154,Mixe,Mixe languages,atit1238 / coat1238 / isth1238 / juqu1238 / maza1292 / nort2939 / tapa1260 / tlah1239 / toto1305
155,Mixtec,Mixteco languages,alac1244 / atat1238 / ayut1236 / chay1249 / coat1241 / jami1235 / ocot1243 / peno1244 / pino1237 / sanj1281 / sanm1295 / yoso1239
156,Pipil,Pipil,pipi1250
157,Tarascan,Purépecha,pure1242 / west2631
158,Tepehua,Tepehua languages,hueh1236 / pisa1237 / tlac1235
159,Tzutujil,Tzutujil languages,cakc1244 / tzut1248
160,Axininca Campa,Ashéninca Pichis,asha1243
161,Kanela-Craho,Canela+Krahô,cane1242 / krah1246 / timb1253
162,Cashinahua,Cashinahua,cash1254
163,Cayuvava,Cayubaba,cayu1262
164,Guarani,Guaraní languages,east2555 / mbya1239 / para1311 / west2640
165,Gününa-küne,Tehuelche,puel1244 / tehu1242 / teus1236
166,Hixkaryana,Hixkaryána,hixk1239
167,Jaqaru,Jaqaru,jaqa1244
168,Jivaro,Shuar,achu1248 / huam1247 / shua1257
169,Mapuche,Mapudungun,huil1244 / mapu1245
170,Nambiquara,Nambikuára,sout2994
171,Piraha,Múra-Pirahã,pira1253
172,Huallaga Quechua,Huallaga Huánuco Quechua,hual1241 / huam1248
173,Waorani,Waorani,waor1240
174,Yagua,Yagua,yagu1244
