ID,Name,Ethnologuenamn,Glottocode
1,Amharic,Amharic,amha1245
2,Dizi,Dizi,dizi1235
3,Fula,Nigerian Fulfulde,adam1253 / cent2018 / koro1298 / maas1239 / nige1253 / pula1262 / pula1263 / west2454
4,Fur,Fur,furr1244 / somy1238
5,Gbeya,Gbaya,boko1261 / gban1260 / gbay1281 / gbay1286 / gbay1287 / gbay1288 / nort2775 / sout2785 / suma1264
6,Hausa,Hausa,haus1257
7,lk,Ik,ikkk1242 / nyan1313
8,!Kung,Kung-Ekoka,juho1239 / kung1260 / kung1261
9,Logbara,Lugbara,lugb1240
10,Luganda,Ganda,gaan1243 / gand1255
11,Maasai,Maasai,masa1300
12,Mandinka,Mandinka,mand1436
13,Nama,Nama,cent2004 / nama1264 / nama1266 / tigo1236
14,Nera,Nara,lala1268 / nara1262
15,Orig,?????,tago1246 / tega1236
16,Oromo,Oromo,bora1271 / east2652 / waat1238 / west2721
17,Sandawe,Sandawe,sand1273
18,Songhai,Songhay languages,humb1243 / koyr1240 / koyr1242
19,Yoruba,Yoruba,ravu1237 / yoru1245
20,Akkadian,n/a,akka1240
21,Elamite,Elamite,elam1244
22,Hittite,Hittite,hitt1242
23,Hurrian,n/a,
24,Sumerian,n/a,
25,Abkhaz,Abkhaz,abkh1244
26,Armenian,Armenian,homs1234 / nucl1235
27,Basque,Basque,basq1248
28,Chechen,Chechen,chec1245
29,English,English,stan1293
30,French,French,stan1290
31,Georgian,Georgian,nucl1302
32,Hungarian,Hungarian,hung1274
33,Russian,Russian,russ1263
34,Zyrian,Komi-Zyrian,komi1268 / komi1269
35,Ainu,Ainu,ainu1240 / ainu1251
36,Chukchi,Chukot,chuk1273
37,Gilyak,Gilyak,gily1242 / sakh1247
38,Japanese,Japanese,nucl1643
39,Ket,Ket,kett1243 / selk1253
40,Korean,Korean,kore1280
41,Mongolian,Halh Mongolian,halh1238
42,Nanai,Nanai,nana1257
43,Tuva,Tuvin,soyo1234 / tuvi1240
44,Yukagir,Yukaghir,nort2745 / sout2750
45,Yurak,Nenets,nene1249
46,Acehnese,Aceh,achi1257
47,Burushaski,Burushaski,buru1296
48,Gurung,Gurung,east2345 / guru1261 / lowa1242 / mana1288 / sout2715 / west2414
49,Kota,Kota,bata1314 / diko1241 / kofa1236 / kota1263 / kota1274
50,Mandarin,Mandarin Chinese,mand1415
51,Miao,Hmong languages,cent1394 / cent2013 / east2370 / east2372 / geee1239 / hmon1263 / hmon1331 / hmon1332 / hmon1333 / larg1235 / nort1545 / nort1546 / nort2747 / nort2749 / sout1555 / sout1556 / sout2754 / sout2755 / sout2756 / west1507
52,Nahali,Nihali,naha1261 / naha1262 / niha1238
53,Temiar,Temiar,temi1246
54,Thai,Thai,thai1261
55,Waigali,Waigali,waig1243
56,Abelam,Ambulas,ambu1247 / hang1263
57,Alamblak,Alamblak,alam1246
58,Amele,Amele,amel1241
59,Arapesh,Arapesh languages,buki1249 / bumb1241
60,Asmat,Asmat languages,casu1237 / cent2117 / cita1245 / nort2917 / tamn1235 / yaos1235
61,Awtuw,Awtuw,awtu1239
62,Barai,Barai,bara1377 / nami1258 / nucl1630
63,Hua,Yagaria,hoaa1235 / huaa1248 / larg1235 / yaga1260
64,Kâte,Kâte,kate1253 / yong1280
65,Kewa,Kewa languages,east2516 / west2599
66,Kiwai,Kiwai languages,kiwa1251 / nort2930 / sout2949
67,Kobon,Kobon,kobo1249
68,Kombai,Kombai,komb1274 / ndei1235 / wang1299
69,Ku Waru,?????,
70,Salt-Yui,Salt-Yui,salt1242
71,Sentani,Sentani,nucl1632
72,Suena,Suena,suen1241
73,Tawala,Tawala,tawa1270 / tawa1275
74,Telefol,Telefol,tele1256
75,Vanimo,Vanimo,vani1248
76,Waris,Waris,wari1266
77,Yali,Yali languages,angg1239 / nini1235 / nips1240 / pass1247
78,Yessan-Mayo,Yessan-Mayo,yess1239
79,Yimas,Yimas,yima1243
80,Djingili,Djingili,djin1251
