ID,Parameter_ID,Old_Name,Name,Colour,Map_Icon
2-1,2,0,0 points,white,cffffff
2-2,2,1,1 point,yellow,cffff00
2-3,2,2,2 points,orange,cff6600
2-4,2,3,3 points,red,cdd0000
3-1,3,0,0 points,white,cffffff
3-2,3,1,1 point,yellow,cffff00
3-3,3,2,2 points,orange,cff6600
4-1,4,0,0 points,white,cffffff
4-2,4,1,1 point,yellow,cffff00
5-1,5,-,no PP (-),white,cffffff
5-2,5,F,F,red,cdd0000
5-3,5,NP,NP,blue,c0000dd
5-4,5,NP?,NP (uncertain),light blue,c00ffff
6-1,6,0,0 points,white,cffffff
6-2,6,1,1 point,yellow,cffff00
6-3,6,2,2 points,orange,cff6600
6-4,6,?,uncertain,grey,ccccccc
7-1,7,0,0 points,white,cffffff
7-2,7,1,1 point,yellow,cffff00
7-3,7,2,2 points,orange,cff6600
8-1,8,0,0 points,white,cffffff
8-2,8,1,1 point,yellow,cffff00
8-3,8,2,2 points,orange,cff6600
8-4,8,4,4 points,purple,c990099
8-5,8,5,5 points,blue,c0000dd
8-6,8,6,6 points,black,c000000
9-1,9,0,0 points,white,cffffff
9-2,9,1,1 point,yellow,cffff00
9-3,9,2,2 points,orange,cff6600
9-4,9,3,3 points,red,cdd0000
9-5,9,4,4 points,purple,c990099
9-6,9,5,5 points,blue,c0000dd
9-7,9,6,6 points,black,c000000
10-1,10,1,1 point,yellow,cffff00
10-2,10,2,2 points,orange,cff6600
10-3,10,3,3 points,red,cdd0000
10-4,10,4,4 points,purple,c990099
11-1,11,0,0 points,white,cffffff
11-2,11,1,1 point,yellow,cffff00
11-3,11,2,2 points,orange,cff6600
11-4,11,3,3 points,red,cdd0000
11-5,11,4,4 points,purple,c990099
11-6,11,5,5 points,blue,c0000dd
11-7,11,6,6 points,grey,ccccccc
11-8,11,7,7 points,grey d,dcccccc
11-9,11,8,8 points,black,c000000
11-10,11,9,9 points,black d,d000000
12-1,12,-1,-1 point,white d,cffffff
12-2,12,0,0 points,white,dffffff
12-3,12,1,1 point,yellow,cffff00
12-4,12,2,2 points,orange,cff6600
12-5,12,3,3 points,red,cdd0000
12-6,12,4,4 points,purple,c990099
12-7,12,5,5 points,blue,c0000dd
12-8,12,6,6 points,grey,ccccccc
12-9,12,7,7 points,grey d,dcccccc
12-10,12,8,8 points,black,c000000
13-1,13,0,0 points,white,cffffff
13-2,13,1,1 point,yellow,cffff00
13-3,13,2,2 points,orange,cff6600
13-4,13,3,3 points,red,cdd0000
13-5,13,4,4 points,purple,c990099
14-1,14,-8,-8 points,white,dffffff
14-2,14,-6,-6 points,white d,cffffff
14-3,14,-5,-5 points,yellow,cffff00
14-4,14,-4,-4 points,yellow d,dffff00
14-5,14,-3,-3 points,orange,cff6600
14-6,14,-2,-2 points,orange d,dff6600
14-7,14,-1,-1 point,red,cdd0000
14-8,14,0,0 points,red d,ddd0000
14-9,14,1,1 point,purple,c990099
14-10,14,2,2 points,purple d,d990099
14-11,14,3,3 points,blue,c0000dd
14-12,14,4,4 points,blue d,d0000dd
14-13,14,5,5 points,grey,ccccccc
14-14,14,6,6 points,grey d,dcccccc
14-15,14,7,7 points,black,c000000
14-16,14,8,8 points,black d,d000000
14-17,14,9,9 points,black s,s000000
15-1,15,2,2 points,white,dffffff
15-2,15,3,3 points,white d,cffffff
15-3,15,4,4 points,yellow,cffff00
15-4,15,5,5 points,yellow d,dffff00
15-5,15,6,6 points,orange,cff6600
15-6,15,7,7 points,orange d,dff6600
15-7,15,8,8 points,red,cdd0000
15-8,15,9,9 points,red d,ddd0000
15-9,15,10,10 points,purple,c990099
15-10,15,11,11  points,purple d,d990099
15-11,15,12,12 points,blue,c0000dd
15-12,15,13,13 points,blue d,d0000dd
15-13,15,14,14 points,grey,ccccccc
15-14,15,15,15 points,grey d,dcccccc
16-1,16,0,0,white,dffffff
16-2,16,"0,1",0.1,yellow,cffff00
16-3,16,"0,13",0.13,yellow,cffff00
16-4,16,"0,14",0.14,yellow,cffff00
16-5,16,"0,17",0.17,yellow d,dffff00
16-6,16,"0,2",0.2,yellow d,dffff00
16-7,16,"0,25",0.25,yellow d,dffff00
16-8,16,"0,29",0.29,orange,cff6600
16-9,16,"0,33",0.33,orange,cff6600
16-10,16,"0,38",0.38,orange,cff6600
16-11,16,"0,4",0.4,orange d,dff6600
16-12,16,"0,43",0.43,orange d,dff6600
