ID,Parameter_ID,Old_Name,Name,Colour,Map_Icon
16-13,16,"0,44",0.44,orange d,dff6600
16-14,16,"0,45",0.45,red,cdd0000
16-15,16,"0,47",0.47,red,cdd0000
16-16,16,"0,5",0.5,red,cdd0000
16-17,16,"0,54",0.54,red d,ddd0000
16-18,16,"0,55",0.55,red d,ddd0000
16-19,16,"0,56",0.56,red d,ddd0000
16-20,16,"0,57",0.57,purple,c990099
16-21,16,"0,58",0.58,purple,c990099
16-22,16,"0,6",0.6,purple,c990099
16-23,16,"0,61",0.61,purple d,d990099
16-24,16,"0,62",0.62,purple d,d990099
16-25,16,"0,64",0.64,purple d,d990099
16-26,16,"0,67",0.67,blue,c0000dd
16-27,16,"0,69",0.69,blue,c0000dd
16-28,16,"0,7",0.7,blue,c0000dd
16-29,16,"0,73",0.73,blue d,d0000dd
16-30,16,"0,75",0.75,blue d,d0000dd
16-31,16,"0,78",0.78,blue d,d0000dd
16-32,16,"0,8",0.8,grey,ccccccc
16-33,16,"0,82",0.82,grey,ccccccc
16-34,16,"0,88",0.88,grey d,dcccccc
16-35,16,"0,89",0.89,grey d,dcccccc
16-36,16,1,1,black,c000000
19-1,19,3,tripartite,yellow,cffff00
19-2,19,?,uncertain,grey,ccccccc
19-3,19,A,A (accusative),blue,c0000dd
19-4,19,A/c,A/c,light blue,c00ffff
19-5,19,A/n,A/n,light blue,c00ffff
19-6,19,A?,A?,light blue,c00ffff
19-7,19,E,E (ergative),red,cdd0000
19-8,19,E/A,E/A,orange,cff6600
19-9,19,E/a,E/a,orange,cff6600
19-10,19,E?,E?,orange,cff6600
19-11,19,N,N (neutral),white,dffffff
19-12,19,N/3,N/3,grey,ccccccc
19-13,19,N/A,N/A,grey,ccccccc
19-14,19,N/a,N/a,grey,ccccccc
19-15,19,N7,N7,grey,ccccccc
19-16,19,N?,N (uncertain),grey,ccccccc
20-1,20,?,uncertain,grey,ccccccc
20-2,20,A,A (accusative),blue,c0000dd
20-3,20,A/E,A/E,light blue,c00ffff
20-4,20,A/n,A/n,light blue,c00ffff
20-5,20,A?,A?,light blue,c00ffff
20-6,20,AIE,AIE,light blue,c00ffff
20-7,20,E,E (ergative),red,cdd0000
20-8,20,E/3,E/3,orange,cff6600
20-9,20,E/A,E/A,orange,cff6600
20-10,20,E/a,E/a,orange,cff6600
20-11,20,N,N (neutral),white,dffffff
20-12,20,N/A,N/A,grey,ccccccc
20-13,20,N/a,N/a,grey,ccccccc
20-14,20,N?,N?,grey,ccccccc
21-1,21,3,tripartite,yellow,cffff00
21-2,21,3?,tripartite (uncertain),yellow,cffff00
21-3,21,A,A (accusative),blue,c0000dd
21-4,21,A.,A.,light blue,c00ffff
21-5,21,A/3,A/3,light blue,c00ffff
21-6,21,A/H,A/H,light blue,c00ffff
21-7,21,A/N,A/N,light blue,c00ffff
21-8,21,A?,A?,light blue,c00ffff
21-9,21,AtH,AtH,light blue,c00ffff
21-10,21,E,E (ergative),red,cdd0000
21-11,21,E/A,E/A,orange,cff6600
21-12,21,E/a,E/a,orange,cff6600
21-13,21,H,H,purple,c990099
21-14,21,H/A,H/A,purple,c990099
21-15,21,N,N (neutral),white,dffffff
21-16,21,N/A,N/A,grey,ccccccc
21-17,21,N/a,N/a,grey,ccccccc
21-18,21,N/e,N/e,grey,ccccccc
21-19,21,N?,N?,grey,ccccccc
21-20,21,NIA,NIA,grey,ccccccc
21-21,21,S,S,black,c000000
21-22,21,S/A,S/A,black,c000000
21-23,21,S/E,S/E,black,c000000
21-24,21,S?,S?,black,c000000
21-25,21,S?/E,S?/E,black,c000000
22-1,22,3,tripartite,yellow,cffff00
22-2,22,A,A (accusative),blue,c0000dd
22-3,22,A?,A (uncertain),light blue,c00ffff
22-4,22,E,E (ergative),red,cdd0000
22-5,22,E?,E (uncertain),orange,cff6600
22-6,22,H,H,purple,c990099
22-7,22,N,N (neutral),white,dffffff
22-8,22,N?,N (uncertain),grey,ccccccc
22-9,22,S,S,black,c000000
22-10,22,S?,S (uncertain),black,c000000
22-11,22,Sg,Sg,black,c000000
23-1,23,-,none,black,c000000
23-2,23,?,uncertain,grey,ccccccc
23-3,23,N,absent,white,dffffff
23-4,23,Y,present,red,cdd0000
24-1,24,-,none (-),black,c000000
24-2,24,--,none (—),black d,d000000
24-3,24,?,uncertain,grey,ccccccc
24-4,24,N,absent,white,dffffff
24-5,24,Y,present,red,cdd0000
25-1,25,-,none,black,c000000
25-2,25,N,absent,white,dffffff
25-3,25,Y,present (Y),red,cdd0000
25-4,25,y,present (y),orange,cff6600
25-5,25,~,~,purple,c990099
26-1,26,10,10 genders,blue s,s0000dd
26-2,26,12,12 genders,black,c000000
26-3,26,13,13 genders,black d,d000000
26-4,26,15?,15? genders,black s,s000000
26-5,26,2,2 genders,orange,cff6600
26-6,26,3,3 genders,red,cdd0000
26-7,26,4,4 genders,purple,c990099
26-8,26,5,5 genders,blue,c0000dd
26-9,26,6,6 genders,blue d,d0000dd
26-10,26,?,uncertain,grey,ccccccc
26-11,26,N,N,white,dffffff
27-1,27,1,1,,
27-2,27,2,2,,
27-3,27,4,4,,
27-4,27,?,uncertain,grey,ccccccc
27-5,27,Y,present (Y),red,cdd0000
27-6,27,y,present (y),orange,cff6600
27-7,27,y.-,present (y.-),orange,cff6600
28-1,28,?,uncertain,grey,ccccccc
28-2,28,Y,present,red,cdd0000
29-1,29,Y,present (Y),red,cdd0000
29-2,29,y,present (y),orange,cff6600
30-1,30,Y,present,red,cdd0000
31-1,31,?,uncertain,grey,ccccccc
31-2,31,Y,present,red,cdd0000
32-1,32,Y,present,red,cdd0000
33-1,33,Y,present (Y),red,cdd0000
33-2,33,y,present (y),orange,cff6600
34-1,34,?,uncertain,grey,ccccccc
34-2,34,N,absent,white,dffffff
34-3,34,Y,present,red,cdd0000
34x-1,34x,',uncertain,grey,ccccccc
34x-2,34x,10,10 classifiers,red,cdd0000
34x-3,34x,13,13 classifiers,red d,ddd0000
34x-4,34x,15,15 classifiers,purple,c990099
34x-5,34x,20,20 classifiers,purple d,d990099
34x-6,34x,26,26 classifiers,blue,c0000dd
34x-7,34x,26+,26+ classifiers,blue d,d0000dd
34x-8,34x,29,29 classifiers,blue s,d0000dd
34x-9,34x,3,3 classifiers,white,dffffff
34x-10,34x,50,50 classifiers,black,c000000
34x-11,34x,50+,50+ classifiers,black d,d000000
34x-12,34x,51,51 classifiers,black s,s000000
34x-13,34x,7,7 classifiers,orange,cff6600
34x-14,34x,9,9 classifiers,orange d,dff6600
35-1,35,1,verb-initial,yellow,cffff00
35-2,35,1.5,verb-initial/medial,orange,cff6600
35-3,35,2,verb-medial,red,cdd0000
35-4,35,2.5,verb-media-/final,purple,c990099
35-5,35,3,verb-final,blue,c0000dd
35-6,35,FreeY,free,white,dffffff
36-1,36,N,absent,white,dffffff
36-2,36,N?,absent (uncertain),grey,ccccccc
36-3,36,Y,present,red,cdd0000
37-1,37,N,absent,white,dffffff
37-2,37,Y,present,red,cdd0000
38-1,38,N,absent,white,dffffff
38-2,38,Y,present (Y),red,cdd0000
38-3,38,y,present (y),orange,cff6600
39-1,39,--,none (—),grey,ccccccc
39-2,39,?,uncertain,grey d,dcccccc
39-3,39,N,absent,white,dffffff
39-4,39,Y,present,red,cdd0000
39-5,39,n/-,n/-,black d,d000000
39-6,39,n/a,not applicable,black,c000000
39-7,39,n/aY,n/aY,black s,s000000
40-1,40,?,uncertain,grey,ccccccc
40-2,40,Y,present,red,cdd0000
41-1,41,Y,present (Y),red,cdd0000
41-2,41,y,present (y),orange,cff6600
42-1,42,?,uncertain,grey,ccccccc
42-2,42,Y,present,red,cdd0000
43-1,43,',uncertain,grey,ccccccc
43-2,43,Y,present,red,cdd0000
44-1,44,'',uncertain,grey,ccccccc
44-2,44,Y,present,red,cdd0000
